qid,P31,P1476,P170,P571,P276,P195,P186,P2048,P2049,P2610,P217,P528,P1431
CREATE,,"""While something is happening here, something else is happening there""@en",,+1988-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Untitled""@en",,,Q673907,Q673907,,,,,,17960,Q138573075
CREATE,,"""FHB HANNOVER""@en",,015,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1988-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Spectrum""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""WORKS 13233""@en",,,Q673907,Q673907,,,,,,13233,Q138573075
CREATE,,"""Viele wertvolle Seiten""@en",Q312793,13,Q673907,Q673907,,,,,,MEG ERANSTON,Q138573075
CREATE,,"""DIEDBRIEN BIEDERJEHSEN 39""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Werke/Works 1988-1999""@en",,+1988-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,61,Q138573075
CREATE,,"""Untitled""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Serie National City""@en",Q312793,Ende der 60er Jahre,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""National City""@en",Q312793,Around the end of the sixties,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Vor allem sind es die Standfotografien amerikanischer Filme""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,Q312793,"1990er Jahre, Mitte der 90er Jahre",Q673907,Q673907,,,,,,,Q138573075
CREATE,,,Q312793,Middle of the nineties,Q673907,Q673907,Q4259259,,,,,,Q138573075
CREATE,,"""John Baldessari zit.""@en",,+1990-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,"S. 19, ebda., S. 27",Q138573075
CREATE,,"""Das Theater des Geistes""@en",,5.43,Q673907,Q673907,,,,,,Nr.29,Q138573075
CREATE,,,,+1990-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,S. 70,Q138573075
CREATE,,,Q312793,,Q673907,Q673907,,,,,,"1990, p. 19",Q138573075
CREATE,,,Q312793,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""MEG CRA NS 0""@en",,,Q673907,Q673907,,,,,,,Q138573075
CREATE,Q3305213,"""Tom Petty""@en",,+1980-00-00T00:00:00Z/9,Q673907,Q673907,Q4259259,,,,,,Q138573075
CREATE,,,Q312793,+1999-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,Q312793,+1999-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""DUCK POND BAR""@en",,+1967-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,Q3305213,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,170,152,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1966-00-00T00:00:00Z/9,Q673907,Q673907,Q125191,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,+1996-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,150,114,,,,Q138573075
CREATE,,,,,Q673907,Q673907,,,,,,,Q138573075
