title,creator,creator_qid,date,object_type,object_type_qid,materials,materials_qids,height_cm,width_cm,depth_cm,inventory_number,catalog_number,location,exhibited_at,notes
"DUCK POND BAR, NATIONAL CITY, CALIFORNIA",John Baldessari,Q312793,1967,painting,Q3305213,Acrylfarbe; Fotoemulsion auf Leinwand,,152,170,,,,Sprengel Museum Hannover,Q673907,
"THE FORMER SITE OF DUCK POND BAR, 3003 NATIONAL CITY BLVD., NATIONAL city CALIFORNIA",John Baldessari,Q312793,1996 revisited,painting,Q3305213,Acrylfarbe; Fotoemulsion auf Leinwand,,150,114,,,,Sprengel Museum Hannover,Q673907,
SIZE /SHAPE (DESTINY),John Baldessari,Q312793,1988-89,Photography and Painting,,Black and white photographs,Q125191,198,259,,,"Private collection, Courtesy Sonnabend Gallery, New York",Sprengel Museum Hannover,Q673907,
POTATO AND LIGHTBULB,John Baldessari,Q312793,1997-98,photograph or installation component,,potted plants; lamps,,,,,,,Sprengel Museum Hannover,Q673907,
PRETZEL AND EAR,John Baldessari,Q312793,1997-98,photograph or installation component,,potted plants; lamps,,,,,,,Sprengel Museum Hannover,Q673907,
WALLPAPER: rooms with windows,John Baldessari,Q312793,varies/1997-98,wallpapers,,tapeten; maße variabel,,,,,,PAGE 13,Sprengel Museum Hannover,Q673907,
STRANGE,John Baldessari,Q312793,1997,Ink-jet auf Leinwand,,Ink jet on canvas,Q4259259,190,152,,,GOWA SERIES,Sprengel Museum Hannover,Q673907,
These Too,John Baldessari,Q312793,,,,,,,,,23 22,THESE TOO,Sprengel Museum Hannover,Q673907,
These 10,John Baldessari,Q312793,1997,Ink-jet on canvas,,ink; canvas,Q127418; Q4259259,190,152,,,THESE 10,Sprengel Museum Hannover,Q673907,
ALL GETTING ON TOGETHER,John Baldessari,Q312793,1999,"Digitaldruck, handgeschriebener Text, Acrylfarbe auf Leinwand/ Digital printing, hand lettering, acrylic paint on canvas",,Digitaldruck; handgeschriebener Text; Acrylfarbe auf Leinwand,,239,239,,,114,Sprengel Museum Hannover,Q673907,
REAL SHADOWS,John Baldessari,Q312793,1989,"Digitaldruck, handgeschriebener Text, Acrylfarbe auf Leinwand/ Digital printing, hand lettering, acrylic paint on canvas",,Digitaldruck; handgeschriebener Text; Acrylfarbe auf Leinwand,,239,239,,,112,Sprengel Museum Hannover,Q673907,
Flying Saucer: Rainbow/Two Cyclists/Dog/Gorilla and Bananas/Chaotic Situation/Couple/Tortoise/Gunman (Fallen),John Baldessari,Q312793,1992,photograph,Q125191,,,,,,,,Sprengel Museum Hannover,Q673907,
"Three Running Figures (One Splashed), Trash Cans, and Poles (With Large Blue Shape)",John Baldessari,Q312793,1995,photograph,Q125191,,,,,,,,Sprengel Museum Hannover,Q673907,
Telephone (for Kafka),John Baldessari,Q312793,1991,photograph,Q125191,black and white,,,,,,,Sprengel Museum Hannover,Q673907,
"Schwarzweißfotografien, Acrylfarbe",John Baldessari,Q312793,1987,painting,Q3305213,Black and white photographs; acrylic,Q125191; Q207849,48.25,48.25,,,,Sprengel Museum Hannover,Q673907,
TEAM,John Baldessari,Q312793,1987,photograph,Q125191,Color and black and white photographs; Acrylfarbe; Metallpapier,Q125191,156,225,,,Collection of Mr. and Mrs. William Wilson Ill,Sprengel Museum Hannover,Q673907,
HANDS/FEET,John Baldessari,Q312793,1988,photograph,Q125191,Schwarzweißfotografien,,244,267,,,"Private collection, Courtesy Baldessari",Sprengel Museum Hannover,Q673907,
SIX WAYS TO RRONOUNCE FIDDLES TICK (For L. Sterne),John Baldessari,Q312793,1988,photographs,Q125191,Oil stain on gelatin silver photographs mounted on aluminium,Q296955,305,406,,,62,Sprengel Museum Hannover,Q673907,
MAN RUNNING/MEN CARRYING BOX,John Baldessari,Q312793,1988-90,photographs,Q125191,"Black and white photographs, vinyl paint, oil tint",Q296955,123,268,,,64,Sprengel Museum Hannover,Q673907,
THREE ACTIVE PERSONS 7 WITH STANDING PERSON,John Baldessari,Q312793,1990,photographs,Q125191,"Color photographs, vinyl paint",Q125191,234,147,,,66,Sprengel Museum Hannover,Q673907,
TWO VOIDED BOOKS,John Baldessari,Q312793,1990,photographs,Q125191,"Black and white photographs, vinyl paint",Q125191,157,245,,,68,Sprengel Museum Hannover,Q673907,
TELERHONE (FOR KAFKA),John Baldessari,Q312793,1991,photographs,Q125191,"Color photograph, black and white photograph, vinyl paint",Q125191,243.84,487.68,,,71,Sprengel Museum Hannover,Q673907,
FOUR FABRICS (PATTERNED): TWO GLASSES/ PASSERS-BY,John Baldessari,Q312793,1992,photographs,Q125191,"Color photographs, black and white photographs, oil tint, Masonite",Q296955,250,219,,,73,Sprengel Museum Hannover,Q673907,
THE PHONE CALL: FACELESS MAN (ORANGE) WITH GLASSES / ENTANGLEMENT OF WORMS,John Baldessari,Q312793,1992,photographs,Q125191,"Color photographs, acrylic paint, crayon",Q207849,203,119,,,75,Sprengel Museum Hannover,Q673907,
FLYING SAUCER: RAINBOW/TWO CYCLISTS/ DOG/GORILLA AND BANANAS/CHAOTIC SITUATION / COUPLE/TORTOISE/GUNMAN (FALLEN),John Baldessari,Q312793,1992,photographs,Q125191,"Color photographs, black and white photographs, acrylic paint, Masonite",Q207849,259,411,,,77,Sprengel Museum Hannover,Q673907,
,John Baldessari,Q312793,1992,photographs,Q125191,"Color photograph, black and white photograph, photocopy on Gandhi Ashram paper, acrylic wash, paper stickers, crayon, oil enamel on rubber, oil enamel on formica, mounted on Masonite",Q207849,210,249,,,78,Sprengel Museum Hannover,Q673907,
"POTATOES, FACE (SMILING), GARBAGE CAN, LANDSCAPE, FOUR SHAPES * RED AND GREEN LINES",John Baldessari,Q312793,1994,photographs,Q125191,"Color photograph, black and white photograph, acrylic, oil pastel and pencil on paper",Q207849,166,215,,,81,Sprengel Museum Hannover,Q673907,
"POINTING HAND, DESK, LIGHTS, AND OBSERVERS (COURTROOM)",John Baldessari,Q312793,1995,photographs,Q125191,"Black and white photographs, color photographs, acrylic, oil stick, pencil on paper",Q207849,255,229,,,83,Sprengel Museum Hannover,Q673907,
"SUNNY DONUTS, FORMER SITE OF DUCK POND BAR",John Baldessari,Q312793,1996,painting,Q3305213,Acrylic and ink-jet on canvas,Q207849,150,114,,,85,Sprengel Museum Hannover,Q673907,
