qid,P31,P1476,P170,P571,P276,P195,P186,P2048,P2049,P2610,P217,P528,P1431
CREATE,,"""Pretzel and Ear""@en",Q312793,+1997-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""Potato and Lightbulb""@en",Q312793,+1997-00-00T00:00:00Z/9,Q673907,Q673907,,,,,,,Q138573075
CREATE,,"""STRANGE""@en",Q312793,+1997-00-00T00:00:00Z/9,Q673907,Q673907,Q127418,190,152,,,,Q138573075
CREATE,Q11060274,"""THESE TOO""@en",Q312793,+1997-00-00T00:00:00Z/9,Q673907,Q673907,Q127418,190,152,,,,Q138573075
CREATE,Q1902763,"""ALL GETTING ALONG TOGETHER""@en",Q312793,+1999-00-00T00:00:00Z/9,Q673907,Q673907,Q207849,239,239,,,,Q138573075
CREATE,Q1902763,"""REAL SHADOWS""@en",Q312793,+1999-00-00T00:00:00Z/9,Q673907,Q673907,Q207849,239,239,,,,Q138573075
CREATE,,"""T E A M""@en",Q312793,+1987-00-00T00:00:00Z/9,Q673907,Q673907,,156,225,,,,Q138573075
CREATE,,"""BOX (BLIND FATE AND CULTURE)""@en",Q312793,+1987-00-00T00:00:00Z/9,Q673907,Q673907,Q125191,122,122,,,,Q138573075
CREATE,Q125191,"""HANDS/FEET""@en",Q312793,+1988-00-00T00:00:00Z/9,Q673907,Q673907,Q125191,244,267,,,,Q138573075
CREATE,,"""SIX WAYS TO PRONOUNCE FIDDLESTICK (for L. Stern)""@en",Q312793,+1988-00-00T00:00:00Z/9,Q673907,Q673907,Q296955,406,305,,,,Q138573075
CREATE,,"""MAN RUNNING/MEN CARRYING BOX""@en",Q312793,+1988-00-00T00:00:00Z/9,Q673907,Q673907,Q125191,123,268,,,,Q138573075
CREATE,Q125191,"""THREE ACTIVE PERSONS / WITH STANDING PERSON""@en",Q312793,+1990-00-00T00:00:00Z/9,Q673907,Q673907,Q125191,234,147,,,,Q138573075
CREATE,,"""TWO VOIDED BOOKS""@en",Q312793,+1980-00-00T00:00:00Z/9,Q673907,Q673907,Q125191,157,245,,,,Q138573075
CREATE,,"""TELEPHONE (FOR KAFKA)""@en",Q312793,+1991-00-00T00:00:00Z/9,Q673907,Q673907,Q125191,243.84,487.68,,,,Q138573075
CREATE,Q125191,"""FOUR FABRICS (PATTERNE): TWO GLASSES/PASSERS-BY""@en",Q312793,+1992-00-00T00:00:00Z/9,Q673907,Q673907,Q125191,250,219,,,,Q138573075
CREATE,,"""THE PHONE CALL: FACELESS MAN (ORANGE) WITH GLASSES / ENTANGLEMENT OF WORMS""@en",Q312793,+1992-00-00T00:00:00Z/9,Q673907,Q673907,Q125191,203,119,,,,Q138573075
CREATE,Q170571,"""FLYING SAUCER: RAINBOW/TWO CYCLISTS/ DOG/GORILLA AND BANANAS/CHAOTIC SITUATION/ COUPLE/TORTOISE/GUN MAN (FALLEN)""@en",Q312793,+1992-00-00T00:00:00Z/9,Q673907,Q673907,Q125191,259,411,,,,Q138573075
CREATE,,"""MAN WITH HANDLEBAR MUSTACHE / TWO BRANCHES (WITH BLACK INTRUSION)""@en",Q312793,+1992-00-00T00:00:00Z/9,Q673907,Q673907,Q11472,270,240,,,,Q138573075
CREATE,,"""POTATOES, FACE (SMILING), GARBAGE CAN, LANDSCAPE, FOUR SHAPES + RED AND GREEN LINES""@en",Q312793,+1994-00-00T00:00:00Z/9,Q673907,Q673907,Q125191,166,215,,,,Q138573075
CREATE,,"""POINTING HAND, DESK, LIGHTS, AND OBSERVERS (COURTROOM)""@en",Q312793,+1995-00-00T00:00:00Z/9,Q673907,Q673907,Q125191,255,229,,,,Q138573075
CREATE,Q1902763,"""THREE RUNNING FIGURES (ONE SPLASHED), TRASH CANS, AND POLES (WITH LARGE BLUE SHAPE)""@en",Q312793,+1995-00-00T00:00:00Z/9,Q673907,Q673907,Q125191,193,106,,,,Q138573075
CREATE,,"""ARRIVE (WITH MOTIVES AND REASONS)""@en",Q312793,+1996-00-00T00:00:00Z/9,Q673907,Q673907,Q125191,235,327,,,,Q138573075
CREATE,Q11060274,"""THERE ISN'T TIME""@en",Q312793,+1997-00-00T00:00:00Z/9,Q673907,Q673907,Q127418,190,152,,,,Q138573075
CREATE,Q11060274,"""AS IS""@en",Q312793,+1997-00-00T00:00:00Z/9,Q673907,Q673907,Q127418,190,152,,,,Q138573075
CREATE,Q11060274,"""SO MUCH AND MORE""@en",Q312793,+1997-00-00T00:00:00Z/9,Q673907,Q673907,Q127418,190,152,,,,Q138573075
CREATE,Q11060274,"""AND""@en",Q312793,+1997-00-00T00:00:00Z/9,Q673907,Q673907,Q127418,190,152,,,,Q138573075
CREATE,Q125191,"""LAMP (ROTTERDAM #3)""@en",Q312793,+1997-00-00T00:00:00Z/9,Q673907,Q673907,Q125191,183,183,,,,Q138573075
CREATE,Q3305213,"""ELBOW SERIES: EMU""@en",Q312793,+1999-00-00T00:00:00Z/9,Q673907,Q673907,Q127418,213.5,213.5,,,,Q138573075
