idn,title,year,isbn,url,subjects
1375818457,Niki de Saint Phalle - Die Grotte,2026,9783775758642,https://deposit.dnb.de/cgi-bin/dokserv?id=b406b929b9104918ad0d85fbf331800e,
1375817957,Niki de Saint Phalle - The Grotto,2026,9783775758659,https://deposit.dnb.de/cgi-bin/dokserv?id=030d7400be864bc6a143cf8fba4e5ffe,
1347131019,Feministische Avantgarde,2025,9783791376226,http://deposit.dnb.de/cgi-bin/dokserv?id=69cec3eb8a084667a52f7bfdeaf86900&prov=M&dok_var=1&dok_ext=htm,Engagierte Kunst | Avantgarde | Künstlerin | Feminismus | Geschichte 1968-1980 | Verbund AG
1357144318,Grethe Jürgens,2025,9783864424571,https://d-nb.info/1357144318/04,"Jürgens, Grethe | Malerei"
1361486112,Lillien Grupe - Realität(en)?,2025,9783949924101,https://d-nb.info/1361486112/04,
1375752529,Love you for infinity,2025,9783891692622,https://deposit.dnb.de/cgi-bin/dokserv?id=e813de7a50294b75a66d7e510e6bd6c4,
1375750437,Love you for infinity,2025,9783891692639,https://deposit.dnb.de/cgi-bin/dokserv?id=818727944b7f486e9150ab4531bc946e,
1362737259,"On lies, secrets and silence",2025,9783891692615,https://deposit.dnb.de/cgi-bin/dokserv?id=b566e2294217449bae9c8c6013346cff,
1366635671,Peter Heber - über das Sterben,2025,9783891692646,https://deposit.dnb.de/cgi-bin/dokserv?id=c162255c3801478e85559039d92abd9c,
129318635X,Verfemt - gehandelt,2025,9783864424243,https://d-nb.info/129318635X/04,"Kunst | Geschichte 1890-1945 | Doebbeke, Conrad | Sammlung | Sprengel Museum Hannover | Provenienzforschung | Doebbeke, Conrad | Sammlung | Kunst | Hannover | Erwerbung | Geschichte 1949 | Herkunft"
1325410217,Bastian Hoffmann - radical negation,2024,9783864424373,,
1376903024,How to be an artist like me,2024,9783949924071,https://d-nb.info/1376903024/04,
1347529314,Nahaufnahmen,2024,9783944286433,,
1326056700,Peter Tuma - aufkommende Unruhe,2024,9783891692608,https://d-nb.info/1326056700/04,
1318695635,Porträt einer Sammlung - Sprengel Museum Hannover,2024,9783891692585,https://d-nb.info/1318695635/04,Kunst | Geschichte 1902-2015 | Sprengel Museum Hannover
1315847256,Subjective evidence,2024,9783960701088,https://d-nb.info/1315847256/04,"Probst, Barbara | Fotografie | Geschichte 2019-2023"
1288765711,Adrian Sauer: truth table,2023,9783959057561,https://d-nb.info/1288765711/04,"Sauer, Adrian | Fotografie | Geschichte 1998-2023"
1310094683,Christian Retschlag,2023,9783864424311,https://d-nb.info/1310094683/04,"Retschlag, Christian | Dokumentarfotografie | Radwandern | Hannover | Mont Ventoux | Landschaftsfotografie | Sachaufnahme"
1277295123,Fotografien der Fotografie,2023,9783868327519,https://d-nb.info/1277295123/04,"Jäger, Gottfried | Generative Fotografie | Geschichte 1960-2020"
1287958486,Kunst und Künstler*innen in Hannover im Nationalsozialismus,2023,9783891692561,https://d-nb.info/1287958486/04,
1299123732,ocular witness,2023,9783891692578,,
1292894105,"Picasso, Beckmann",2023,9783954766017,https://d-nb.info/1292894105/04,"Picasso, Pablo | Beckmann, Max"
1318695732,Portrait of a collection - Sprengel Museum Hannover,2023,9783891692592,https://d-nb.info/1318695732/04,Kunst | Geschichte 1902-2015 | Sprengel Museum Hannover
1293186678,Schweinebewusstsein,2023,9783864424250,https://d-nb.info/1293186678/04,Schwein | Schweineproduktion | Fleischprodukt | Rezeption | Kunst | Geschichte 2007-2023
128063796X,The real thing,2023,9783947127429,https://d-nb.info/128063796X/04,"Brown, Glenn | Malerei | Plastik"
1287423973,Welche Moderne?,2023,9783954765751,https://d-nb.info/1287423973/04,Les Maîtres populaires de la réalité | Avantgarde | Naive Malerei | Rezeption | Kanon
1254011242,Edda Zesin - Zeichnungen,2022,9783891692554,,
1249062152,"Gegeben sind Reuterswärd, Fahlström, Duchamp",2022,9783864423789,https://d-nb.info/1249062152/04,"Reuterswärd, Carl Fredrik | Fahlström, Öyvind | Duchamp, Marcel"
1269127276,Seitwärts über den Nordpol,2022,9783753302560,https://d-nb.info/1269127276/04,"Möbus, Christiane"
126865471X,Vom Beginnen,2022,,https://d-nb.info/126865471X/04,
1245231324,A00121,2021,9783954764525,https://d-nb.info/1245231324/04,"Monka, Jonas | Plastik"
1246215810,Danach ist davor,2021,9783864423536,,"Monkiewitsch, Lienhard von | Malerei"
1187971537,Elementarteile,2021,9783864422973,,
1233038621,Elementarteile,2021,9783864422973,,
1233038753,Elementarteile,2021,9783864422973,,
123303880X,Elementarteile,2021,9783864422973,,
1233038915,Elementarteile,2021,9783864422973,,
1233038966,Elementarteile,2021,9783864422973,,
1233039059,Elementarteile,2021,9783864422973,,
1233039148,Elementarteile,2021,9783864422973,,
1233039229,Elementarteile,2021,9783864422973,,
1233039261,Elementarteile,2021,9783864422973,,
1244300748,Elementarteile,2021,9783864422973,,
1236770714,"Formen, die ihr Wesen treiben",2021,9783891692530,https://d-nb.info/1236770714/04,
1234724227,How to survive,2021,9783891692509,https://d-nb.info/1234724227/04,
