type,iri,label,label_de,description,description_de,subclass of,subproperty of,domain,range,same as,equivalent class,equivalent property,note,instance of
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:instance_of,instance of,ist ein(e),this item is a specific example and a member of that class,dieses Objekt ist ein spezifisches Beispiel und gehört zu dieser Klasse,,,,,,,http://www.wikidata.org/entity/P31,"Wikibase ID: P1,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:start_date,start date,Startdatum,"when an event started, use property 'end date' as well (the property 'date' should be used alternatively when an event only has a point in time instead of a time span)","wenn ein Ereignis begonnen hat, auch die Eigenschaft »Enddatum« verwenden (die Eigenschaft »Datum« sollte alternativ verwendet werden, wenn ein Ereignis nur einen Zeitpunkt statt einer Zeitspanne hat)",,,https://gitlab.com/nfdi4culture/wikibase4research/model/event,http://www.w3.org/2001/XMLSchema#date,,,"https://schema.org/startDate,http://www.wikidata.org/entity/P580","Wikibase ID: P10,Wikibase datatype: edtf",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:getty_ulan,Getty ULAN,Getty ULAN,identifier from the Union List of Artist Names by the Getty Research Institute,Kennung aus der Union List of Artist Names des Getty Research Institute,,,https://gitlab.com/nfdi4culture/wikibase4research/model/human,http://www.w3.org/2001/XMLSchema#string,,,http://www.wikidata.org/entity/P245,"Wikibase ID: P100,Wikibase datatype: external-id",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:geonames,Geonames,Geonames,identifier in the GeoNames geographical database,Kennung in der GeoNames geographical database,,,https://gitlab.com/nfdi4culture/wikibase4research/model/place,http://www.w3.org/2001/XMLSchema#string,,,http://www.wikidata.org/entity/P1566,"Wikibase ID: P101,Wikibase datatype: external-id",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:gnd,GND,GND,"identifier from an international authority file of names, subjects, and organizations - Deutsche Nationalbibliothek","Kennung aus einer internationalen Normdatei für Personennamen, Körperschaften und Schlagwörter – Deutsche Nationalbibliothek",,,"https://gitlab.com/nfdi4culture/wikibase4research/model/physical_object,https://gitlab.com/nfdi4culture/wikibase4research/model/actor",http://www.w3.org/2001/XMLSchema#string,,,http://www.wikidata.org/entity/P227,"Wikibase ID: P102,Wikibase datatype: external-id",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:doi,DOI,DOI,serial code used to uniquely identify digital objects like academic papers (use upper case letters only),Seriencode zur eindeutigen Identifizierung digitaler Objekte wie wissenschaftlicher Arbeiten (nur Großbuchstaben verwenden),,,https://gitlab.com/nfdi4culture/wikibase4research/model/digital_object,http://www.w3.org/2001/XMLSchema#string,,,http://www.wikidata.org/entity/P356,"Wikibase ID: P103,Wikibase datatype: external-id",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:end_date,end date,Enddatum,"when an event finished, use property 'start date' as well (the property 'date' should be used alternatively when an event only has a point in time instead of a time span)","wenn ein Ereignis beendet wurde, auch die Eigenschaft »Startdatum« verwenden (die Eigenschaft »Datum« sollte alternativ verwendet werden, wenn ein Ereignis nur einen Zeitpunkt statt einer Zeitspanne hat)",,,https://gitlab.com/nfdi4culture/wikibase4research/model/event,http://www.w3.org/2001/XMLSchema#date,,,"https://schema.org/endDate,http://www.wikidata.org/entity/P582","Wikibase ID: P11,Wikibase datatype: edtf",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:date,date,Datum,used for events that are associated with a point in time instead of a time span (use start date and end date for indicating a time span),"wird für Ereignisse verwendet, die mit einem Zeitpunkt und nicht mit einer Zeitspanne verbunden sind (verwenden Sie Start- und Enddatum zur Angabe einer Zeitspanne)",,,https://gitlab.com/nfdi4culture/wikibase4research/model/event,http://www.w3.org/2001/XMLSchema#date,,,http://www.wikidata.org/entity/P585,"Wikibase ID: P12,Wikibase datatype: edtf",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:participant,participant,hatte Teilnehmer,person who participated in an event,"Person, die an einem Ereignis teilgenommen hat",,,https://gitlab.com/nfdi4culture/wikibase4research/model/event,https://gitlab.com/nfdi4culture/wikibase4research/model/actor,,,"http://www.cidoc-crm.org/cidoc-crm/P11_had_participant,https://schema.org/participant,http://www.wikidata.org/entity/P710","Wikibase ID: P13,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:carried_out_by,carried out by,wurde ausgeführt von,active agent of an event,aktiver Akteur eines Ereignisses,,,https://gitlab.com/nfdi4culture/wikibase4research/model/event,https://gitlab.com/nfdi4culture/wikibase4research/model/actor,,,"http://www.cidoc-crm.org/cidoc-crm/P14_carried_out_by,https://schema.org/agent","Wikibase ID: P14,Wikibase datatype: wikibase-item",
